Company Name,Street Address,City,State,Zip
Perry High School,1307 North Ave #2614,Perry,GA,31069.0
Pickens High School,500 Dragon Dr.,Jasper,GA,30143.0
Pierce County High School,4850 County Farm Rd,Blackshear,GA,31516.0
Pike County High School,331 Pirate Drive ,Zubulon,GA,30295.0
Pope High School,3001 Hembree Road,Marietta,GA,30062.0
Prospect,,,,
Prospect,,,,
Prospect,,,,
Prospect,,,,
Prospect,,,,
Prospect,,,,
Prospect,,,,
Prospect,,,,
Prospect,,,,
Prospect,,,,
Prospect,,,,
Prospect,,,,
Prospect,,,,
Prospect,,,,
Prospect,,,,
Prospect,,,,
Prospect,,,,
Prospect,,,,
Putnam County High School,300 War Eagle Drive,Eatonton,GA,31024.0
Quitman County High School,173 Kaigler Rd,Georgetown,GA,39854.0
Randolph-Clay High School,3451 GA-266,Cuthbert,GA,39840.0
Redan High School,5247 Redan Rd.,Stone Mountain,GA,30088.0
Richmond Hill High School,1 Wildcat Drive,Richmond Hill,GA,31324.0
River Ridge High School,400 Arnold Mill Road,Woodstock,GA,30188.0
Rivers Academy,38 N Main Street,Alpharetta,GA,30009.0
Riverwood International Charter School,5900 Heards Dr. NW,Atlanta,GA,30328.0
Rock Springs Christian Academy,219 Rock Springs Rd,Milner,GA,30257.0
Rockdale Career Academy,1064 Culpepper Drive SW,Conyers,GA,30094.0
Rockdale County High School,1174 Bulldog Cir NE,Conyers,GA,30094.0
Rockmart High School,,,,
Rome High School,1000 Veterans Memorial Hwy,Rome,GA,30161.0
Roswell High School,11595 King Rd.,Roswell,GA,30075.0
Salem High School,3551 Underwood Rd.,Conyers,GA,30013.0
Sequoyah High School,4485 Hickory Rd,Canton,GA,30116.0
Shaw High School,7579 Raider Way,Columbus,GA,31909.0
Shiloh High School,4210 Shiloh Rd,Snellville,GA,30039.0
South Atlanta Health & Medical Science,800 Hutchens Road,Atlanta,GA,
South Cobb High School,1920 Clay Rd.,Austell,GA,30106.0
South Forsyth High School,585 Peachtree Pkwy,Cumming,GA,30041.0
Spalding High School,433 Wilson Rd.,Griffin,GA,30224.0
Spencer High School,1000 Fort Benning Road,Columbus,GA,31903.0
Sprayberry High School,2525 Sandy Plains,Marietta,GA,
St. Teresa's Catholic School,417 Edgewood Ln.,Albany ,GA,31707.0
Starr's Mill High School,193 Panther Path,Fayetteville,GA,30215.0
Stephens County High School,323 Indian Trail,Toccoa,GA,30577.0
Stephenson High School,,,,
Stewart County High School,15582 GA-27,Lumpkin,GA,31815.0
Stone Mountain High School,4555 Central Drive,Stone Mountain,GA,30083.0
Tattnall County High School,1 Battle Creek Warrior Blvd.,Reidsville,GA,30453.0
The Cottage School,700 Grimes Bridge Road,Roswell,GA,30075.0
The Walker School,700 Cobb Parkway North,Marietta,GA,
Therrell (Daniel McLaughlin) High School,3099 Panther Trail,Atlanta,GA,30311.0
Thomas County Central High School,4686 US Hwy 84 Bypass,Thomasville ,GA,31792.0
Thomasville High School,820 Washington St.,Thomasville,GA,31792.0
Thomson High School,1160 Whiteoak Rd,Thomson,GA,30824.0
Towns County High School,1400 US Hwy 76 East,Hiawassee,GA,30546.0
Tri-Cities High School,2575 Harris Street,East Point,GA,30344.0
Troup County High School,1920 Hamilton Rd,LaGrange,GA,30241.0
Tucker High School,5036 Lavista Rd,Tucker,GA,30084.0
Turner County High School,316 Lamar Street,Ashburn,GA,31793.0
Union County High School,153 Panther Circle,Blairsville,GA,30512.0
Union Grove High School,120 East Lake Rd,McDonough,GA,
Valdosta High School,4590 Inner Perimeter Rd,Valdosta,GA,31601.0
Walnut Grove,,,,
Walton High School,,,,
Ware County High School,700 Victory Drive,Waycross,GA,31503.0
Warner Robbins High School,401 South Davis Drive,Warner Robbins,GA,31088.0
Washington County High School,420 Riddleville Rd.,Sandersville,GA,31082.0
West Forsyth High School,4155 Drew Rd.,Cumming,GA,30040.0
West Hall High School,5500 McEver Rd.,Oakwood,GA,30566.0
West Laurens High School,3692 Highway 257,Dexter,GA,31019.0
Westlake High School,2400 Union Road SW,Atlanta,GA,30331.0
Westover Comprehensive High School,2600 Partridge Drive,Albany ,GA,31707.0
Wheeler High School,375 Holt Rd NE,Marietta,GA,30068.0
White County High School,2600 Hwy 129 North,Cleveland,GA,30528.0
Whitewater High School,100 Wildcat Way,Fayetteville,GA,30215.0
Winder-Barrow High School,272 N. Fifth Ave.,Winder,GA,30680.0
Woodland High School ,800 N. Moseley Dr,Stockbridge ,GA,30281.0
